"","MSZoning","Utilities","Neighborhood","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","ExterQual","ExterCond","BsmtQual","BsmtCond","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","GrLivArea","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageArea","GarageQual","GarageCond","OpenPorchSF","PoolArea","Fence","MoSold","YrSold","SaleType","SaleCondition","SalePrice","logPrice"
"22",1,1,16,1,2,5,3,1958,2,3,2,4,1276,1,3,1,3,1276,3,1,2,5,5,0,1,350,1,1,0,0,1,6,2009,3,2,60000,11.0020998412042
"24",2,1,9,1,4,5,6,1922,2,1,2,4,993,1,3,1,3,1048,2,1,2,5,1,1,3,280,1,1,0,0,1,8,2006,1,1,113000,11.6351430976945
"25",2,1,9,1,3,6,6,1941,2,2,2,2,735,1,1,1,1,1218,3,1,2,6,1,1,3,440,1,1,0,0,1,3,2007,1,1,131000,11.7829526021833
"27",1,1,13,1,2,7,5,2003,1,1,1,1,1176,1,1,1,1,1200,2,1,1,5,1,0,1,555,1,1,41,0,1,8,2009,1,1,184900,12.1275704173752
"31",1,1,12,1,2,5,5,1960,2,1,2,1,1065,1,2,1,1,1065,3,1,2,6,1,0,1,461,1,1,0,0,1,7,2007,3,1,126500,11.7479975871497
"32",1,1,12,3,2,5,5,1958,2,1,2,1,1584,1,3,1,1,1776,4,2,2,9,1,0,1,888,1,1,25,0,1,7,2009,3,2,110000,11.6082356447746
"33",1,1,18,1,1,8,5,2000,1,1,1,1,1406,1,1,1,1,1936,3,1,1,7,1,1,2,504,1,1,124,0,1,11,2006,1,1,230500,12.3480061414188
"35",1,1,12,1,2,5,5,1958,2,1,2,1,864,1,3,1,1,864,3,1,2,5,1,0,1,624,1,1,0,0,1,7,2006,1,1,129900,11.7745202026587
"36",1,1,1,1,2,7,5,1996,1,1,1,1,1504,1,1,1,1,1504,3,1,1,6,1,1,2,478,1,1,66,0,1,6,2009,1,1,203000,12.2209612580239
"37",1,1,16,2,3,5,7,1940,2,2,2,1,644,1,2,1,1,1355,4,2,2,6,1,0,1,0,4,3,0,0,1,9,2008,1,1,127500,11.7558716435806
"38",1,1,11,1,2,8,5,2007,1,1,3,1,1734,1,1,1,1,1734,3,1,3,7,1,1,3,928,1,1,0,0,1,11,2007,2,3,318000,12.6698066617623
"39",5,1,3,3,1,5,6,1949,2,1,2,1,1001,1,3,2,3,2002,4,2,2,8,1,0,1,871,1,1,0,0,1,8,2007,1,1,145000,11.8844890214027
"40",1,1,16,2,3,4,4,1941,2,3,1,1,672,3,4,2,3,924,2,1,4,5,1,0,1,280,1,1,0,0,2,7,2010,1,1,80000,11.289781913656
"41",1,1,12,3,1,5,5,1960,2,1,2,1,1105,1,3,1,3,2274,5,2,2,12,1,0,1,480,1,1,0,0,1,1,2010,1,1,154300,11.9466540383513
"44",1,1,12,1,1,6,5,1969,2,1,5,1,952,1,3,1,1,2112,4,1,2,9,1,2,3,576,1,1,0,0,1,6,2008,1,1,206900,12.2399908637336
"46",1,1,1,1,1,6,5,1998,2,1,1,1,794,1,1,1,1,1796,3,1,2,7,1,0,1,546,1,1,36,0,2,5,2007,1,1,211000,12.2596134124582
"49",1,1,12,3,2,5,5,1959,2,1,2,1,1626,1,1,1,1,1712,4,2,2,8,1,0,1,588,1,1,54,0,1,6,2006,1,6,145000,11.8844890214027
"52",4,1,6,1,2,8,5,2006,1,1,1,2,1489,1,1,1,1,1489,3,1,1,7,1,1,3,776,1,1,140,0,1,6,2006,2,3,232600,12.3570755190667
"53",1,1,5,1,3,7,5,2003,1,1,3,1,1434,1,1,1,1,2149,1,1,1,6,1,1,5,670,1,1,43,0,1,8,2009,1,2,239686,12.3870850123755
"55",1,1,18,1,1,6,5,2004,2,1,2,1,839,1,1,1,1,1593,3,1,2,8,1,1,2,398,1,1,75,0,1,4,2008,1,1,193000,12.170445467887
"60",1,1,18,1,1,7,5,2004,1,1,1,1,847,1,1,1,1,1959,4,1,1,8,1,1,3,434,1,1,48,0,1,7,2007,1,1,215000,12.2783933071098
"62",1,1,1,1,1,7,5,1996,1,1,1,1,880,1,1,1,1,1716,2,1,1,7,1,1,2,512,1,1,120,0,1,7,2009,1,1,191000,12.1600287070288
"64",1,1,16,1,5,7,5,2003,1,1,4,3,0,1,1,1,1,1922,4,1,1,7,1,1,5,672,1,1,0,0,1,7,2009,4,1,198500,12.1985443791094
"68",1,1,12,1,2,6,5,1956,2,1,1,1,1196,1,2,1,3,1196,2,1,2,6,1,1,3,297,1,1,44,0,1,5,2008,1,1,139000,11.8422292121128
"70",1,1,16,1,3,5,6,1940,2,1,2,1,756,1,4,2,2,1134,3,1,2,7,1,0,1,240,1,1,0,0,1,4,2007,1,4,126000,11.7440371859336
"71",2,1,23,5,1,6,5,1971,2,1,2,1,672,1,3,1,1,1218,3,1,2,7,1,0,1,0,4,3,0,0,1,4,2006,1,2,91500,11.4240942512636
"72",1,1,7,1,2,6,6,1980,2,2,1,1,1686,1,3,1,1,1686,3,1,2,7,1,1,2,612,1,1,131,0,1,5,2006,1,1,207500,12.2428866186529
"79",1,1,18,1,1,6,5,2000,1,1,1,1,992,1,1,1,1,2054,3,1,1,7,1,1,2,390,1,1,48,0,1,7,2009,1,1,244000,12.4049235042753
"85",1,1,1,1,1,6,5,2005,1,1,1,1,728,1,1,1,1,1456,3,1,1,8,1,1,3,390,1,1,24,0,1,7,2006,2,3,163990,12.0075607293375
"88",1,1,5,1,2,7,5,2004,1,1,3,1,1710,1,1,1,1,1710,3,1,1,7,1,1,3,550,1,1,48,0,1,4,2009,1,1,240000,12.3883942023241
"89",1,1,4,1,1,7,6,1994,1,1,1,1,973,1,1,1,1,1850,3,1,1,7,1,1,3,467,1,1,98,0,1,1,2009,1,1,248000,12.4211840251471
"90",1,1,13,1,1,6,6,1980,2,1,1,1,650,1,3,1,1,1564,3,1,2,7,1,1,2,476,1,1,50,0,2,4,2010,1,1,171000,12.0494188354848
"92",1,1,18,1,1,6,5,2000,2,1,1,1,959,1,1,1,1,1671,3,1,2,7,1,1,2,472,1,1,38,0,1,2,2006,1,1,173000,12.0610468734799
"94",1,1,5,1,6,6,5,1976,2,1,1,1,1029,1,3,1,1,1062,3,1,2,5,1,2,2,539,1,1,0,0,1,5,2007,1,1,146800,11.8968263951626
"95",1,1,16,3,2,5,5,1965,2,1,4,3,0,1,3,2,1,1664,4,2,2,8,1,0,1,0,4,3,0,0,1,5,2010,1,1,100000,11.5129254649702
"97",1,1,7,1,6,7,6,1968,2,1,2,1,570,1,2,1,1,1920,4,1,1,8,1,1,2,487,1,1,98,0,4,9,2006,1,1,170000,12.0435537160324
"100",1,1,16,1,2,4,3,1956,2,1,2,1,672,1,1,1,3,960,3,1,2,5,1,0,1,288,1,1,0,0,2,10,2009,3,2,112000,11.6262541502772
"101",1,1,5,1,5,5,6,1978,2,2,1,1,1097,1,1,1,1,1110,1,1,1,4,1,1,2,602,1,1,30,0,1,7,2009,1,1,165500,12.0167264737993
"103",1,1,7,1,1,6,6,1972,2,1,2,2,723,1,3,1,1,1395,3,1,2,6,1,1,2,497,1,1,116,0,1,12,2009,1,1,162000,11.9953516142145
"109",1,1,19,1,1,8,5,2003,3,1,1,1,1650,1,1,1,1,3279,4,1,3,12,5,1,3,841,1,1,36,0,1,6,2010,1,1,538000,13.1956138391439
"112",1,1,12,1,2,7,7,1960,2,1,1,1,585,1,1,1,1,2069,4,1,1,9,1,1,3,505,1,1,0,0,1,11,2008,1,1,242000,12.3966930051388
"114",4,1,6,1,2,8,5,2009,1,1,1,1,1300,1,1,1,1,1314,3,1,1,6,1,0,1,552,1,1,112,0,1,9,2009,2,3,229456,12.343466568969
"116",1,1,12,1,2,5,5,1967,2,1,2,1,892,1,3,1,1,892,3,1,2,5,1,0,1,288,1,1,0,0,3,7,2009,1,1,100000,11.5129254649702
"119",2,1,14,1,3,6,6,1937,2,2,2,1,780,1,3,1,1,1375,3,1,1,6,1,1,3,544,1,1,162,0,1,12,2007,1,1,141000,11.8565151693603
"121",1,1,12,1,2,4,6,1971,2,1,2,1,864,1,3,1,1,864,3,1,2,5,1,0,1,528,1,1,0,0,3,5,2007,1,1,120500,11.6994050319128
"122",1,1,1,1,2,5,7,1977,2,1,1,2,1268,1,3,1,1,1268,3,1,1,5,1,0,1,252,1,1,0,0,1,10,2009,1,1,143500,11.8740903141818
"124",1,1,1,1,2,5,6,1972,2,1,2,1,864,1,1,1,1,864,3,1,2,5,1,1,4,338,1,1,0,0,1,8,2009,1,1,133500,11.8018567568224
"129",1,1,10,3,3,5,5,1977,2,1,1,1,1361,1,1,1,1,2620,4,2,2,12,1,1,2,600,1,1,24,0,1,8,2007,1,1,190000,12.1547793511426
"130",1,1,3,1,3,7,9,1939,1,2,2,1,798,1,1,1,1,1954,3,1,1,8,1,2,2,431,1,1,119,0,1,5,2008,1,1,311500,12.6491546172096
"131",1,1,12,1,1,5,7,1942,2,1,2,1,728,1,1,1,1,1644,3,1,1,7,1,2,3,312,1,1,0,0,1,6,2007,1,1,146500,11.8947807074393
"133",1,1,8,1,3,3,4,1915,2,1,2,1,672,1,3,1,1,1214,3,1,2,6,1,0,1,936,1,1,0,0,2,1,2006,1,6,105000,11.5617156291397
"134",1,1,12,1,2,5,7,1950,2,1,2,1,876,1,3,1,1,988,3,1,2,6,1,0,1,276,1,1,80,0,1,5,2007,1,1,119000,11.6868787720937
"140",1,1,13,1,2,6,5,2003,2,1,1,1,1114,1,1,1,1,1114,3,1,1,6,1,0,1,576,1,1,78,0,1,7,2008,1,1,155000,11.9511803959014
"144",2,1,23,5,1,6,7,1972,2,1,2,1,672,1,2,1,1,1218,3,1,2,7,1,0,1,264,1,1,28,0,1,5,2006,1,1,118000,11.6784399034478
"146",2,1,14,1,7,5,7,1920,2,1,2,4,530,1,3,2,1,1111,3,1,4,6,1,0,1,288,1,1,0,0,1,3,2007,1,1,101000,11.5228757958234
"149",4,1,6,1,1,8,5,2009,1,1,1,1,832,1,1,1,1,1935,3,1,2,8,1,0,1,552,1,1,150,0,1,12,2009,2,3,263435,12.4815619372163
"153",2,1,8,1,2,5,7,1948,2,1,2,1,924,1,1,1,1,1122,2,1,1,6,1,0,1,528,1,1,36,0,3,5,2008,1,1,147000,11.8981878657609
"155",1,1,12,1,2,6,3,1957,2,1,2,1,1478,1,2,1,1,1478,3,1,2,6,1,2,3,442,1,1,0,0,1,6,2009,1,1,156500,11.9608112889623
"163",1,1,20,1,1,7,5,1977,2,1,1,1,1160,1,1,1,1,2022,4,1,2,8,1,1,2,505,1,1,117,0,1,3,2008,1,1,192000,12.1652506510099
"166",1,1,11,5,2,8,5,2006,1,1,1,2,1554,1,1,1,1,1554,2,1,1,6,1,1,3,627,1,1,73,0,1,8,2007,1,1,209500,12.2524790183443
"168",1,1,18,1,1,7,5,2004,1,1,1,1,788,1,1,1,1,1490,3,1,1,8,1,1,3,388,1,1,75,0,1,2,2008,1,1,184000,12.1226910365911
"170",1,1,1,1,2,7,5,2007,1,1,1,1,1232,1,1,1,1,1232,2,1,1,6,1,0,1,632,1,1,0,0,1,2,2009,1,1,194500,12.1781874420406
"176",1,1,10,1,2,5,5,1954,2,1,1,1,1383,1,3,1,1,1383,3,1,2,6,1,1,3,354,1,1,116,0,4,6,2008,1,1,165000,12.0137007528827
"178",5,1,3,3,1,6,6,1946,2,1,1,1,979,1,3,2,2,1958,4,2,2,8,1,0,1,492,1,1,0,0,1,8,2007,1,1,145000,11.8844890214027
"179",1,1,1,1,2,5,7,1977,2,1,1,1,1040,1,3,1,1,1040,3,1,1,5,1,0,1,484,1,1,0,0,1,9,2009,1,1,150500,11.9217183631711
"180",1,1,1,1,2,5,5,1995,2,1,1,1,990,1,1,1,1,990,3,1,2,5,1,0,1,576,1,1,0,0,1,7,2006,1,1,156000,11.9576112862317
"182",1,1,12,1,2,6,6,1959,2,1,2,1,864,1,1,1,1,864,2,1,2,5,1,0,1,300,5,6,0,0,1,10,2009,1,1,127500,11.7558716435806
"187",1,1,12,1,3,4,4,1949,2,1,2,1,720,1,3,2,3,1192,4,1,2,6,1,0,1,0,4,3,0,0,1,12,2006,1,2,135000,11.8130300574206
"188",1,1,19,4,2,8,5,1988,1,1,1,1,1228,1,2,1,1,1228,2,1,1,5,1,1,3,472,1,1,120,0,1,10,2008,1,1,189000,12.1495022940418
"191",1,1,13,3,2,5,5,1979,2,3,4,3,0,1,3,1,1,1535,4,2,2,8,1,0,1,410,1,1,0,0,1,6,2009,1,5,118964,11.6865762053166
"194",2,1,9,1,3,6,6,1939,2,3,2,1,780,1,1,1,2,1412,4,1,2,6,1,1,3,280,1,1,0,0,1,5,2009,1,1,132500,11.7943379244084
"196",1,1,16,1,3,5,8,1900,2,1,2,2,861,1,1,1,1,1367,4,1,2,7,1,0,1,384,1,1,130,0,2,4,2008,1,1,119000,11.6868787720937
"199",1,1,12,1,3,5,4,1952,2,3,2,1,910,1,4,1,1,1385,4,1,2,6,1,0,1,720,1,1,0,0,2,6,2010,1,1,166000,12.0197430673387
"204",1,1,18,1,1,6,5,2005,2,1,1,1,728,1,1,1,1,1456,3,1,1,8,1,0,1,400,1,1,24,0,1,7,2008,1,1,176000,12.0782392740203
"209",1,1,1,1,2,5,7,1972,2,1,2,1,894,1,3,1,1,894,3,1,2,5,1,0,1,552,1,1,0,0,3,7,2006,1,2,149900,11.9177236840907
"210",1,1,1,1,1,6,5,2005,1,1,1,1,738,1,1,1,1,1476,3,1,1,7,1,0,1,540,1,1,35,0,1,2,2009,1,1,173500,12.0639328783691
"213",2,1,16,5,1,7,5,2004,1,1,1,1,970,1,1,1,1,1709,3,1,1,7,3,0,1,380,1,1,40,0,1,5,2006,1,1,130000,11.7752897294377
"216",1,1,16,1,2,5,6,1957,2,1,2,1,1216,1,1,1,3,1526,4,1,2,7,4,1,3,364,1,1,78,0,1,5,2010,1,1,144500,11.8810347865346
"218",1,1,12,3,2,5,5,1965,2,1,2,1,1728,1,3,1,1,1728,6,2,2,10,1,0,1,576,1,1,0,0,1,11,2008,1,1,142600,11.8677987869623
"219",1,1,20,1,2,7,5,1975,2,1,1,1,1533,1,3,1,1,1533,2,1,1,5,1,2,2,576,1,1,54,0,1,12,2006,1,1,280000,12.5425448821514
"221",1,1,19,4,2,8,5,1986,1,1,1,1,1074,1,1,1,1,1088,2,1,1,5,1,0,1,461,1,1,74,0,1,10,2007,1,1,170000,12.0435537160324
"222",1,1,12,1,2,6,5,1957,2,1,2,1,1392,1,3,1,3,1392,3,1,2,6,1,2,3,458,1,1,0,0,1,6,2008,1,1,166000,12.0197430673387
"226",1,1,5,1,1,6,5,2001,2,1,3,1,804,1,1,1,1,1961,3,1,1,7,1,1,2,560,1,1,192,0,1,6,2009,1,1,215000,12.2783933071098
"227",1,1,5,1,2,5,5,1991,2,1,1,1,974,1,3,1,1,974,3,1,2,5,1,0,1,0,4,3,28,0,2,9,2007,9,2,93500,11.4457167152768
"228",1,1,10,1,2,5,6,1977,2,1,2,1,980,1,3,1,1,980,3,1,2,6,1,0,1,484,1,1,0,0,1,7,2009,1,1,135000,11.8130300574206
"230",1,1,10,1,2,5,6,1961,2,1,2,1,864,1,1,1,1,1144,3,1,2,6,1,1,2,264,1,1,0,0,3,3,2009,1,1,131400,11.7860013850326
"231",1,1,11,1,2,8,5,2006,1,1,3,1,1709,1,1,1,1,1717,3,1,1,7,1,1,3,908,1,1,39,0,1,7,2009,1,1,255500,12.4509776886259
"232",1,1,12,1,2,6,3,1968,2,1,5,4,1392,1,2,1,1,1392,2,1,2,5,6,2,2,576,1,1,0,0,1,7,2009,1,1,110000,11.6082356447746
"233",4,1,6,4,1,6,5,1999,2,1,1,1,729,1,2,1,1,1458,2,1,2,5,1,1,4,440,1,1,32,0,1,6,2007,1,1,176000,12.0782392740203
"234",1,1,16,3,3,5,7,1900,2,1,2,1,1272,1,2,1,1,2200,4,2,2,9,1,0,1,0,4,3,70,0,4,9,2008,1,1,145900,11.8906767345109
"236",1,1,5,1,2,6,5,1977,2,1,2,1,1567,1,3,1,1,1567,2,1,1,5,1,2,2,714,1,1,32,0,1,5,2009,1,1,196000,12.1858699382127
"237",2,1,8,1,1,8,9,1882,1,2,2,1,916,1,2,1,1,1742,4,1,1,8,1,1,3,424,1,1,169,0,1,11,2009,1,1,168000,12.0317192583854
"239",1,1,11,1,1,9,5,2008,3,1,3,1,1926,1,1,1,1,3140,4,1,3,11,1,2,3,820,1,1,78,0,1,7,2009,2,3,485000,13.0919041699196
"242",1,1,12,1,3,5,5,1958,2,1,2,1,874,2,3,1,3,1524,3,1,2,7,1,0,1,315,1,1,0,0,3,7,2007,1,1,144000,11.8775685785581
"244",1,1,9,1,7,6,6,1916,2,1,2,1,844,1,2,2,3,2134,5,1,1,10,1,0,1,441,1,1,60,0,1,7,2009,1,1,214500,12.2760650173502
"249",1,1,12,1,2,5,7,1951,2,1,2,1,952,1,3,1,1,952,2,1,2,4,1,0,1,840,1,1,0,0,1,6,2008,3,2,139000,11.8422292121128
"255",2,1,8,1,1,4,7,1910,2,1,5,1,622,1,2,1,1,1363,3,1,2,6,1,0,1,528,1,1,0,0,1,6,2010,1,1,125500,11.740061037554
"257",2,1,1,4,2,6,5,2004,1,1,1,1,848,1,1,1,1,848,1,1,1,3,1,1,2,420,1,1,0,0,1,5,2008,1,1,141000,11.8565151693603
"258",1,1,18,1,6,7,5,1991,1,1,1,1,384,1,2,1,1,1472,3,1,1,7,1,1,2,402,1,1,0,0,1,5,2007,1,1,160000,11.982929094216
"260",2,1,14,1,2,4,4,1922,2,1,2,4,796,1,4,2,1,796,2,1,2,5,1,0,1,0,4,3,0,0,2,1,2008,1,1,55000,10.9150884642146
"264",2,1,9,1,3,5,6,1928,2,1,2,1,1042,1,1,1,1,1576,3,1,2,8,1,1,3,225,1,1,0,0,1,8,2006,1,6,149000,11.9117015849276
"269",1,1,4,1,1,8,5,1999,1,1,1,1,1252,1,1,1,1,2365,3,1,1,8,1,1,3,856,1,1,128,0,1,7,2009,1,1,337000,12.7278382093345
"270",1,1,10,1,2,5,6,1962,2,1,2,1,912,1,3,1,1,912,2,1,2,4,1,0,1,352,1,1,0,0,1,9,2008,1,1,144000,11.8775685785581
"271",1,1,10,1,5,6,5,1966,2,1,2,1,814,1,2,1,1,913,3,1,2,6,1,0,1,240,1,1,0,0,1,5,2007,1,1,129000,11.7675676833438
"272",1,1,16,1,2,4,6,1956,2,1,2,1,1134,1,1,1,3,1229,3,1,2,6,1,0,1,284,1,1,0,0,1,4,2009,1,1,135000,11.8130300574206
"273",1,1,1,1,1,7,5,2003,1,1,1,1,856,1,1,1,1,1710,3,1,1,8,1,0,1,548,1,1,61,0,1,2,2008,1,1,208500,12.247694320221
"274",1,1,11,1,1,8,5,2005,1,1,3,1,1158,1,1,1,1,2376,4,1,1,9,1,1,3,853,1,1,154,0,1,11,2006,2,3,325300,12.6925031124614
"280",1,1,17,1,1,8,5,2002,1,1,1,1,967,1,1,1,1,1908,4,1,1,9,1,0,1,431,1,1,0,0,1,4,2010,1,1,202900,12.2204685258139
"283",1,1,18,1,1,5,6,1948,2,1,4,3,0,1,2,1,1,2320,2,1,2,7,1,1,2,672,1,1,144,0,1,5,2006,1,1,169000,12.0376539939052
"285",4,1,6,1,1,8,5,2006,1,1,1,1,1088,1,1,1,1,1959,3,1,1,8,1,1,3,1025,1,1,46,0,1,12,2007,1,1,270000,12.5061772379805
"288",2,1,16,4,5,6,5,2005,2,1,1,1,547,1,2,1,1,1072,2,1,2,5,1,0,1,525,1,1,44,0,1,6,2006,2,3,140000,11.8493977015914
"289",1,1,7,1,2,6,7,1972,2,1,2,1,1161,1,3,1,1,1381,3,1,1,5,1,1,2,676,1,1,0,0,1,3,2010,1,1,197500,12.1934938633233
"290",1,1,9,1,3,7,7,1925,1,2,2,1,952,2,2,2,1,1548,3,1,3,5,1,0,1,672,1,1,0,0,1,10,2009,1,1,205000,12.2307652581205
"292",1,1,12,1,2,5,5,1969,2,1,2,1,1096,1,1,1,1,1096,3,1,2,6,1,0,1,299,1,1,32,0,1,3,2006,1,2,138800,11.8407893270548
"294",2,1,9,1,3,5,4,1936,2,1,1,1,896,1,2,1,3,1344,3,1,2,7,1,0,1,240,2,1,114,0,1,4,2006,1,1,115000,11.6526874073454
"296",1,1,1,1,1,7,5,2006,1,1,1,2,1391,1,1,1,1,1962,3,1,1,7,1,0,1,868,1,1,90,0,1,8,2006,2,3,239799,12.3875563514251
"301",1,1,12,1,2,4,5,1972,2,1,2,1,864,1,3,1,1,864,3,1,2,5,1,0,1,576,1,1,0,0,5,4,2008,3,1,111250,11.6195352000285
"304",2,1,9,1,2,5,7,1925,2,1,2,1,768,1,3,2,1,1015,3,1,2,6,2,0,1,450,1,1,0,0,2,7,2006,1,2,88000,11.3850920934603
"310",1,1,12,1,2,6,8,1969,2,1,2,1,1026,1,2,1,1,1026,3,1,1,5,1,0,1,440,1,1,48,0,1,7,2009,1,1,156000,11.9576112862317
"312",1,1,2,1,1,7,7,1974,1,1,2,1,1192,1,3,1,1,2167,3,1,1,9,1,2,3,518,1,1,47,0,2,7,2007,1,1,294000,12.5913350463208
"316",1,1,22,1,2,7,5,2007,1,1,1,1,1266,1,1,1,1,1266,2,1,1,6,1,1,3,388,1,1,16,0,1,3,2008,1,1,159895,11.9822726287897
"317",1,1,10,1,2,5,6,1968,2,1,2,1,1461,1,2,1,1,1721,3,1,2,7,2,1,2,440,1,1,96,0,2,7,2006,1,1,180000,12.1007121298723
"322",1,1,8,1,2,4,6,1927,2,1,2,1,656,1,3,1,1,968,4,1,2,5,1,0,1,216,2,2,0,0,1,8,2007,1,1,64500,11.0744205027839
"325",1,1,4,1,2,10,5,2001,3,1,3,1,2633,1,1,1,1,2633,2,1,3,8,1,2,3,804,1,1,140,0,1,3,2007,1,1,466500,13.0530132992695
"332",1,1,11,4,2,7,5,2009,1,1,1,1,1358,1,1,1,1,1358,2,1,1,6,1,1,3,484,1,1,35,0,1,6,2010,2,3,224000,12.3194013308372
"334",1,1,7,1,6,7,6,1979,2,1,2,1,539,1,3,1,1,1725,3,1,2,6,1,1,2,550,1,1,88,0,1,11,2007,1,1,197000,12.1909590077201
"337",1,1,16,1,1,6,6,1977,2,1,2,1,690,1,3,1,1,1426,3,1,2,6,1,0,1,440,1,1,0,0,2,7,2009,1,1,159500,11.979799201207
"338",2,1,9,1,3,5,8,1925,2,1,2,1,884,1,1,1,1,1348,3,1,2,5,1,1,4,216,1,1,0,0,1,5,2009,1,1,117000,11.6699292137799
"341",4,1,6,4,2,7,5,2006,1,1,3,2,1352,1,1,1,1,1352,2,1,1,5,1,1,3,466,1,1,241,0,1,4,2007,2,3,208900,12.2496109475447
"342",4,1,6,4,1,7,5,2006,1,1,1,1,625,1,1,1,1,1250,2,1,1,5,1,0,1,528,1,1,54,0,1,6,2007,2,3,164700,12.0118809161657
"343",2,1,9,1,2,2,3,1936,4,3,2,4,264,3,4,2,3,800,1,1,4,4,3,1,6,0,4,3,0,0,1,1,2009,7,1,60000,11.0020998412042
"344",2,1,8,2,1,4,6,1885,2,1,2,1,777,1,2,1,1,2290,4,2,2,11,1,0,1,560,1,1,0,0,1,4,2010,1,1,122500,11.7158663089669
"345",1,1,11,1,2,10,5,2006,3,1,3,2,2076,1,1,1,1,2076,2,1,3,7,1,1,3,850,1,1,229,0,1,9,2006,2,3,465000,13.0497926845695
"346",1,1,11,1,2,7,5,2009,1,1,1,1,1502,1,1,1,1,1502,3,1,1,7,1,0,1,644,1,1,114,0,1,9,2009,2,3,233170,12.359523080243
"349",1,1,3,1,2,6,5,1953,2,2,1,1,1809,1,3,1,1,2259,3,1,1,7,1,2,3,450,1,1,120,0,2,10,2007,3,2,217000,12.2876526325226
"350",2,1,9,1,3,6,9,1937,1,1,2,1,698,1,3,1,1,1176,2,1,2,4,1,0,1,624,1,1,0,0,1,7,2009,1,1,134900,11.8122890421958
"354",1,1,1,1,2,7,5,2004,1,1,1,1,1860,1,1,1,1,1836,3,1,1,8,1,1,3,484,1,1,33,0,1,10,2006,1,1,216837,12.2869011981928
"362",1,1,4,1,1,7,5,1993,1,1,1,1,1347,1,1,1,1,2646,4,1,1,9,1,1,2,656,1,1,60,0,1,4,2009,1,1,260000,12.4684369099977
"367",1,1,17,1,1,6,5,1996,1,1,3,1,872,1,1,1,1,1756,3,1,2,7,1,0,1,422,1,1,122,0,1,7,2007,1,1,204000,12.2258752728264
"368",1,1,13,1,2,7,5,2001,1,1,1,1,1454,1,1,1,1,1434,3,1,1,6,1,1,2,527,1,1,39,0,1,4,2009,1,1,189000,12.1495022940418
"370",1,1,12,1,6,5,5,1955,2,1,2,1,384,1,3,1,1,1360,3,1,2,6,2,1,2,572,1,1,50,0,2,2,2007,1,1,130000,11.7752897294377
"375",1,1,7,1,1,7,7,1977,2,1,2,1,795,1,4,1,1,2263,3,1,1,9,1,1,2,539,1,1,250,0,1,3,2006,1,1,235000,12.3673407931263
"383",1,1,12,1,2,5,5,1962,2,1,2,1,894,1,2,2,1,894,2,1,2,5,1,0,1,308,1,1,0,0,1,8,2009,1,1,109500,11.6036798282387
"387",2,1,15,4,1,5,6,1976,2,1,1,1,264,1,3,1,1,1304,3,1,2,4,1,1,3,336,1,1,24,0,1,6,2008,1,1,115000,11.6526874073454
