"","MSZoning","Utilities","Neighborhood","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","ExterQual","ExterCond","BsmtQual","BsmtCond","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","GrLivArea","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageArea","GarageQual","GarageCond","OpenPorchSF","PoolArea","Fence","MoSold","YrSold","SaleType","SaleCondition","SalePrice","logPrice"
"267",1,1,1,1,2,5,7,1972,2,2,2,1,864,1,1,1,1,864,3,1,2,5,1,0,1,288,1,1,0,0,1,6,2006,1,1,128500,11.7636841833174
"527",2,1,9,1,4,6,7,1926,1,1,2,1,884,1,2,1,1,904,2,1,2,4,1,0,1,180,1,1,0,0,1,1,2009,1,1,119000,11.6868787720937
"369",1,1,11,4,2,8,5,2006,1,1,1,2,1370,1,1,1,1,1370,2,1,1,6,1,1,3,484,1,1,49,0,1,10,2007,1,1,202500,12.2184951655287
"245",1,1,13,3,5,5,5,1979,2,1,1,1,1086,1,3,1,1,1224,2,2,2,6,1,2,2,528,1,1,0,0,1,6,2009,1,5,153337,11.9403933925547
"293",1,1,17,1,2,8,5,2006,1,1,3,1,1732,1,1,1,1,1776,3,1,1,7,1,1,3,712,1,1,0,0,1,5,2007,2,3,283463,12.5548368821687
"872",4,1,6,1,1,8,5,2004,1,1,1,1,1580,1,1,1,1,2466,4,1,1,8,1,1,3,610,1,1,214,0,1,12,2007,1,1,340000,12.7367008965923
"825",1,1,18,1,1,7,5,2006,1,1,1,2,654,1,1,1,1,1496,3,1,1,7,1,1,3,426,1,1,24,0,1,9,2006,2,3,179665,12.0988492847421
"275",1,1,18,1,1,6,5,2000,2,1,1,1,982,1,1,1,1,1800,3,1,2,7,1,1,2,463,1,1,63,0,1,6,2009,1,1,179000,12.0951410848229
"556",1,1,20,1,2,6,5,1996,2,1,1,1,1291,1,1,1,1,1291,2,1,1,6,1,1,3,431,1,1,0,0,1,11,2008,1,1,173000,12.0610468734799
"241",1,1,13,1,1,6,5,1994,1,2,1,2,928,1,1,1,1,1721,3,1,1,7,1,0,1,471,1,1,87,0,1,7,2007,1,1,201000,12.2110601870412
"668",2,1,8,2,2,4,4,1953,4,1,5,1,936,1,3,2,1,936,2,1,2,4,4,0,1,576,1,1,32,0,1,2,2009,1,1,93000,11.4403547721354
"505",1,1,5,1,2,6,5,1983,2,2,2,1,1084,1,3,1,1,1080,3,1,2,5,1,0,1,484,1,1,0,0,1,6,2007,1,1,134000,11.805595078933
"50",2,1,14,1,2,6,5,1920,2,1,2,1,1012,1,3,1,3,1012,2,1,2,6,1,1,3,308,1,1,22,0,2,5,2007,1,1,118400,11.681824001432
"431",1,1,12,1,2,5,7,1955,2,1,2,1,1098,1,3,1,1,1098,3,1,2,6,1,0,1,260,1,1,0,0,1,7,2008,1,1,135000,11.8130300574206
"394",1,1,12,1,2,5,6,1956,2,1,2,1,1050,1,2,1,1,1050,2,1,2,5,1,0,1,338,1,1,0,0,1,6,2009,1,1,128900,11.7667921889273
"396",2,1,14,1,2,4,6,1936,2,1,2,1,951,1,1,2,1,951,2,1,2,6,1,0,1,327,1,1,28,0,1,4,2006,1,2,106500,11.5759002641316
"303",1,1,11,1,1,8,5,2004,1,1,3,1,1117,1,1,1,1,2452,4,1,1,9,1,1,3,691,1,1,32,0,1,9,2006,1,1,309000,12.6410965558799
"600",1,1,13,4,2,6,5,1992,1,1,1,1,1575,1,2,1,1,1575,2,1,1,5,1,0,1,529,1,1,0,0,1,7,2007,1,1,179200,12.096257779523
"98",1,1,7,1,2,7,5,1998,1,1,3,1,1650,1,1,1,1,1680,3,1,1,7,3,1,2,583,1,1,73,0,1,6,2009,1,1,213250,12.2702204653539
"658",1,1,4,1,2,7,5,1996,1,1,1,1,1720,1,1,1,1,1720,3,1,1,7,1,1,2,527,1,1,56,0,1,3,2010,1,1,260400,12.4699741893166
"539",1,1,11,1,1,7,5,2006,1,1,3,2,1063,1,1,1,1,2172,3,1,1,9,1,1,3,947,1,1,62,0,1,8,2007,2,3,280000,12.5425448821514
"674",1,1,7,1,2,7,6,1973,2,1,2,1,1242,1,4,1,1,1242,3,1,2,6,1,1,2,528,1,1,0,0,1,9,2007,1,1,175500,12.0753943218881
"537",1,1,17,1,2,8,5,2007,1,1,1,1,1466,1,1,1,1,1466,3,1,1,7,1,0,1,610,1,1,18,0,1,7,2009,1,1,201000,12.2110601870412
"851",1,1,12,1,2,5,6,1957,2,1,2,1,1070,1,3,1,1,1236,2,1,1,6,2,1,4,447,1,1,0,0,2,5,2006,1,1,134450,11.808947661697
"531",1,1,9,1,3,5,4,1950,2,1,2,1,709,1,3,1,1,1203,3,1,1,5,1,1,2,352,1,1,0,0,1,7,2009,1,1,110000,11.6082356447746
"774",1,1,1,1,2,7,5,2003,1,1,1,1,1453,1,1,1,1,1479,3,1,1,7,1,0,1,558,1,1,29,0,1,6,2007,1,1,226000,12.3282902782544
"479",2,1,15,5,5,5,7,1970,2,1,1,1,630,1,1,1,1,630,1,1,3,3,1,0,1,0,4,3,0,0,1,8,2006,1,2,92000,11.4295438560312
"305",1,1,16,1,3,5,4,1949,2,1,2,1,768,1,2,1,1,1716,3,1,2,8,4,1,3,281,1,1,0,0,1,1,2009,1,1,131000,11.7829526021833
"363",4,1,6,4,1,7,5,2005,1,1,1,1,600,1,1,1,1,1200,2,1,1,4,1,0,1,480,1,1,166,0,1,4,2006,1,2,144152,11.8786235774066
"710",1,1,4,1,1,8,5,1997,1,1,1,1,1396,1,1,1,1,2392,3,1,1,7,1,1,2,870,1,1,70,0,1,6,2006,1,1,348000,12.7599577587566
"876",3,1,8,2,7,6,6,1910,2,1,2,4,1214,2,1,2,1,2291,4,2,2,9,1,1,3,506,1,1,0,0,1,11,2007,1,1,133900,11.8048485316793
"657",2,1,8,1,3,3,7,1948,2,2,2,1,649,1,1,1,1,1183,2,1,2,6,1,0,1,308,1,1,176,0,1,6,2007,1,1,120000,11.6952470217642
"599",1,1,1,1,1,7,6,1996,1,1,1,1,799,1,1,1,1,1661,3,1,1,6,1,1,2,550,1,1,61,0,1,4,2009,7,1,212000,12.2643415536542
"483",1,1,10,1,2,5,7,1967,2,1,2,1,864,1,1,1,1,899,3,1,1,5,1,0,1,288,1,1,0,0,2,6,2009,1,1,130000,11.7752897294377
"28",1,1,10,1,2,4,4,1976,2,1,2,1,1281,1,1,1,1,1620,3,1,2,8,2,1,2,490,1,1,78,0,3,6,2009,1,1,150000,11.9183905730784
"835",1,1,12,1,6,5,5,1960,2,1,2,1,1075,1,2,1,1,1507,4,1,2,7,3,0,1,404,1,1,0,0,3,8,2008,1,1,127000,11.7519423654407
"820",1,1,1,1,2,8,5,2007,1,1,3,1,1234,1,1,1,1,1234,3,1,1,7,1,0,1,484,1,1,30,0,1,1,2008,1,1,179900,12.1001564199386
"451",2,1,8,1,1,7,9,1920,2,2,2,1,650,1,1,1,1,1482,3,1,2,7,1,0,1,324,1,1,0,0,1,7,2009,1,1,143000,11.870599909242
"473",1,1,18,1,1,6,5,2002,1,1,1,1,783,1,1,1,1,1509,3,1,1,7,1,1,3,393,1,1,75,0,1,6,2006,1,1,183200,12.1183337312222
"374",2,1,23,5,1,6,8,1972,2,1,2,1,483,1,2,1,1,987,2,1,1,5,1,0,1,264,1,1,0,0,1,5,2009,1,1,118000,11.6784399034478
"80",1,1,13,1,5,6,6,1992,2,1,1,1,936,1,1,1,1,996,2,1,1,5,1,0,1,564,1,1,0,0,1,4,2010,1,1,147000,11.8981878657609
"659",1,1,20,1,3,7,4,1953,1,1,2,1,1304,2,3,1,1,2287,3,1,2,7,1,1,2,667,1,1,21,0,1,7,2006,1,1,225000,12.3238556811866
"1",1,1,12,1,2,5,6,1970,2,1,2,1,1002,1,3,1,1,1002,3,1,2,5,1,0,1,902,1,1,0,0,2,8,2009,1,1,148500,11.9083402372249
"381",1,1,12,1,2,5,7,1960,2,1,2,1,1010,1,1,1,1,1134,2,1,2,6,1,0,1,254,1,1,16,0,5,4,2007,1,6,135000,11.8130300574206
"142",2,1,8,1,3,7,7,1926,2,1,2,1,572,1,3,1,1,1111,2,1,2,5,1,1,3,288,1,1,0,0,1,8,2008,1,1,116900,11.6690741474602
"211",1,1,18,1,1,6,5,2002,1,1,1,1,1010,1,1,1,1,2267,4,1,1,8,1,1,2,390,1,1,46,0,1,12,2009,5,1,200000,12.2060726455302
"747",1,1,10,1,2,6,8,1961,2,2,2,1,912,1,2,1,1,912,3,1,1,5,1,0,1,288,1,1,0,0,4,5,2008,1,1,142000,11.8635823365834
"189",1,1,7,1,1,5,5,1969,2,1,2,1,780,1,1,1,1,1620,4,1,2,7,2,0,1,462,1,1,0,0,3,4,2007,1,1,152000,11.9316357998284
"43",1,1,12,1,2,5,7,1957,2,2,2,1,992,1,3,1,1,1306,2,1,2,5,1,0,1,756,1,1,0,0,1,5,2009,1,1,153000,11.9381932003746
"247",1,1,7,1,1,8,9,1976,3,2,2,2,1142,1,1,1,1,2715,4,1,1,11,1,2,2,831,1,1,204,0,1,7,2008,1,1,299800,12.6108708646506
"870",1,1,7,1,2,6,5,1974,2,1,1,1,1064,1,3,1,1,1350,3,1,2,7,1,1,2,478,1,1,0,0,2,8,2009,1,1,165000,12.0137007528827
"243",5,1,13,1,2,4,4,1966,2,1,2,1,1056,1,3,1,1,1056,2,1,2,5,1,0,1,384,1,1,42,0,2,11,2006,1,1,107000,11.580584113444
"708",1,1,18,1,1,6,5,1994,2,1,1,1,702,1,2,1,1,1481,3,1,2,6,1,1,2,343,1,1,36,0,1,3,2009,1,1,174000,12.0668105781967
"536",1,1,24,1,3,6,6,1925,2,1,2,1,976,1,1,1,1,1608,3,1,1,7,1,1,3,216,2,1,16,0,2,10,2009,1,1,137450,11.8310154935934
"871",1,1,12,1,1,6,5,1963,2,1,2,1,780,1,3,1,1,1796,4,1,2,8,1,1,2,483,1,1,50,0,1,10,2008,1,1,140000,11.8493977015914
"810",1,1,21,5,1,6,5,1978,2,1,1,1,855,1,4,1,1,1456,3,1,2,7,1,1,2,440,1,1,0,0,1,7,2010,1,1,146000,11.8913619006905
"506",1,1,11,1,1,9,5,2008,3,1,3,1,1734,1,1,1,1,2822,4,1,3,12,1,1,3,1020,1,1,170,0,1,1,2009,2,3,582933,13.2758275359155
"355",2,1,8,1,1,6,7,1910,2,1,2,1,684,1,1,2,3,1368,3,1,2,7,1,0,1,216,1,2,158,0,1,10,2006,1,1,114504,11.6483650358641
"214",1,1,11,1,1,10,5,2008,3,1,3,1,1722,1,1,1,1,2296,3,1,3,10,1,1,3,842,1,1,274,0,1,6,2009,5,1,451950,13.0213268332266
"787",1,1,5,3,2,7,5,1988,2,1,2,1,1907,1,2,1,1,1959,5,2,2,9,1,0,1,766,1,1,0,0,1,7,2006,1,6,171000,12.0494188354848
"76",1,1,1,1,1,8,5,2001,1,1,1,1,1299,1,1,1,1,1872,3,1,3,7,1,1,2,531,1,1,122,0,1,11,2009,1,1,261500,12.4741895624871
"627",1,1,8,1,3,6,6,1924,2,2,5,1,617,1,2,1,1,1310,2,1,2,6,2,0,1,398,1,1,0,0,1,5,2006,3,1,112000,11.6262541502772
"96",1,1,16,1,2,4,7,1920,2,1,2,1,528,1,1,1,1,605,2,1,2,5,1,0,1,0,4,3,0,0,1,7,2007,1,1,86000,11.3621025752356
"701",1,1,18,1,6,7,5,2000,2,1,1,1,384,1,1,1,1,1430,3,1,2,7,1,1,2,400,1,1,0,0,1,4,2010,1,1,180000,12.1007121298723
"105",1,1,7,1,1,7,6,1976,2,1,2,1,803,1,3,1,1,1964,4,1,2,8,1,1,3,483,1,1,69,0,1,9,2008,1,1,205000,12.2307652581205
"318",1,1,5,1,6,6,6,1984,2,1,2,1,1003,1,3,1,1,1003,3,1,2,6,1,0,1,588,1,1,0,0,4,3,2006,1,1,142500,11.8670972786908
"69",1,1,12,1,2,6,7,1970,2,1,2,1,1004,1,1,1,1,1004,2,1,2,5,1,1,2,480,1,1,0,0,1,3,2010,1,1,149000,11.9117015849276
"297",1,1,4,1,1,7,5,1996,1,1,1,1,1379,1,1,1,1,2398,3,1,1,8,1,1,2,834,1,1,60,0,1,8,2007,1,1,315750,12.6627060402127
"541",2,1,14,1,3,5,6,1938,2,1,2,1,803,1,1,1,1,1360,2,1,1,6,1,0,1,297,1,1,65,0,2,7,2006,1,1,125500,11.740061037554
"580",1,1,22,4,2,7,5,2005,1,1,1,1,1373,1,1,1,1,1555,2,1,1,7,1,1,2,430,1,1,20,0,1,5,2009,1,1,192500,12.16785143271
"608",1,1,18,1,1,7,5,2007,1,1,1,1,728,1,1,1,1,1456,3,1,1,8,1,1,3,400,1,1,24,0,1,7,2007,2,3,179540,12.0981533033107
"457",1,1,1,1,1,7,5,2003,1,1,1,1,840,1,1,1,1,1668,3,1,1,8,1,0,1,500,1,1,68,0,1,9,2007,1,1,180000,12.1007121298723
"402",1,1,1,1,2,7,5,1999,1,1,1,1,1431,1,1,1,1,1431,3,1,1,6,1,0,1,666,1,1,35,0,1,9,2009,1,1,192000,12.1652506510099
"670",2,1,3,4,2,8,5,2008,3,1,3,1,1600,1,1,1,1,1652,2,1,1,5,1,1,3,482,1,1,53,0,1,11,2008,2,3,392500,12.8802918162046
"494",1,1,1,1,2,7,5,2005,1,1,1,1,1614,1,1,1,1,1614,3,1,1,7,1,0,1,865,1,1,59,0,1,7,2006,2,3,221500,12.3081778684673
"454",1,1,12,1,2,6,5,1961,2,1,2,1,1362,1,3,1,1,1362,3,1,2,6,1,1,2,504,1,1,20,0,1,6,2008,3,1,163000,12.0015054797889
"579",1,1,12,1,2,5,6,1954,2,1,2,1,1268,1,2,1,1,1268,2,1,2,7,1,1,3,244,1,1,98,0,1,3,2010,1,1,132000,11.7905572015685
"842",2,1,14,1,3,6,7,1920,2,3,2,1,319,1,3,1,3,1406,3,1,4,6,1,0,1,0,4,3,144,0,2,3,2008,1,1,89500,11.4019939042629
"775",2,1,9,1,2,5,7,1921,2,1,2,1,616,1,2,1,1,616,2,1,2,4,1,0,1,205,1,1,0,0,1,6,2006,1,1,89000,11.3963916487143
"311",1,1,12,1,2,5,7,1955,2,1,4,3,0,1,1,1,1,827,2,1,2,5,5,1,6,392,1,1,0,0,1,4,2010,1,1,107500,11.5852461265499
"759",1,1,5,1,2,5,8,1982,2,2,2,2,816,1,1,1,1,816,2,1,2,4,1,0,1,816,1,1,0,0,1,6,2008,1,1,138000,11.8350089641393
"641",1,1,13,1,1,6,5,1993,1,1,1,1,832,1,1,1,1,1710,3,1,1,7,1,0,1,506,1,1,70,0,1,6,2008,1,1,187000,12.1388638958367
"447",2,1,8,2,1,4,5,1920,2,1,2,1,736,1,2,1,1,1452,2,3,2,8,1,0,1,0,4,3,0,0,1,6,2009,2,3,113000,11.6351430976945
"106",1,1,12,3,2,5,5,1967,2,1,2,1,1584,1,3,1,1,1584,4,2,2,8,5,0,1,792,1,1,152,0,1,4,2009,1,1,124000,11.7280368445872
"728",1,1,18,1,1,7,5,2004,1,1,1,1,716,1,1,1,1,1432,3,1,1,6,1,1,3,432,1,1,51,0,1,7,2009,1,1,188500,12.1468532858702
"137",1,1,1,1,2,7,5,1998,2,1,1,1,1649,1,1,1,1,1661,3,1,1,6,1,0,1,598,1,1,34,0,1,5,2010,1,1,224900,12.3234111379474
"633",1,1,12,1,6,6,6,1955,2,1,2,1,992,1,2,1,1,1661,3,1,1,8,1,1,2,377,1,1,28,0,2,10,2008,1,1,165500,12.0167264737993
"808",1,1,1,1,2,7,5,2002,1,1,1,1,1536,1,1,1,1,1536,3,1,1,7,1,0,1,532,1,1,74,0,1,12,2008,1,1,214000,12.273731294004
"493",2,1,8,1,2,5,8,1938,2,1,5,1,190,1,2,1,3,886,2,1,2,4,1,0,1,273,1,1,20,0,1,12,2009,1,1,91300,11.4219060665831
"206",2,1,8,1,2,4,7,1885,2,1,5,1,641,1,2,1,1,1047,2,1,2,6,1,0,1,273,2,2,0,0,1,8,2007,1,1,100000,11.5129254649702
"438",1,1,7,1,1,7,5,1988,2,1,1,1,980,1,3,1,1,1714,3,1,2,7,1,1,2,496,1,1,66,0,2,3,2010,1,1,196500,12.1884177102915
"741",4,1,6,1,1,7,5,2006,1,1,1,2,770,1,1,1,1,1576,3,1,1,6,1,0,1,614,1,1,50,0,1,8,2006,2,3,197000,12.1909590077201
"152",1,1,9,1,3,6,5,1939,2,1,2,1,972,1,2,1,1,1577,3,1,4,6,1,1,3,312,1,1,0,0,1,10,2006,1,1,140200,11.8508252535826
"834",1,1,7,1,1,6,7,1974,2,1,2,1,1522,1,3,1,1,2614,4,1,2,9,1,1,2,624,1,1,243,0,1,6,2008,1,1,240000,12.3883942023241
"639",2,1,8,1,2,6,7,1957,2,1,2,1,912,1,3,1,3,1236,2,1,2,6,1,0,1,923,1,1,158,0,2,4,2010,1,1,149700,11.9163885704077
"690",1,1,12,1,2,5,7,1950,1,1,2,1,1113,1,2,1,1,1113,3,1,1,5,1,1,3,264,1,1,80,0,1,7,2009,1,1,147000,11.8981878657609
"735",4,1,6,1,1,6,5,2003,1,1,1,1,864,1,1,1,1,1728,3,1,1,7,1,0,1,673,1,1,56,0,1,5,2008,1,1,207500,12.2428866186529
"501",1,1,18,1,1,7,5,2005,1,1,1,1,1392,1,1,1,1,2462,4,1,1,9,1,1,3,576,1,1,132,0,1,3,2006,2,3,320000,12.6760762747759
"418",1,1,4,1,1,8,5,2000,1,1,1,1,1145,1,1,1,1,2198,4,1,1,9,1,1,2,836,1,1,84,0,1,12,2008,1,1,250000,12.4292161968444
"672",4,1,6,1,2,6,5,2006,1,1,1,1,1262,1,2,1,1,1262,2,1,1,5,1,0,1,572,1,1,120,0,1,5,2006,2,3,185000,12.1281111040605
"340",5,1,24,2,8,6,7,1914,4,1,2,4,1440,1,1,1,3,3395,8,2,4,14,1,0,1,0,4,3,110,0,1,3,2007,1,2,200000,12.2060726455302
"563",4,1,6,4,1,6,5,2009,1,1,1,1,612,1,1,1,1,1224,2,1,1,4,1,0,1,528,1,1,234,0,1,6,2009,2,3,164500,12.0106658491876
"314",1,1,22,4,2,7,5,2005,1,1,1,2,1346,1,1,1,1,1504,2,1,1,7,1,1,3,437,1,1,20,0,1,5,2008,1,1,191000,12.1600287070288
"514",1,1,10,1,1,6,5,1978,2,1,2,1,672,1,3,1,1,1386,3,1,2,6,1,1,2,440,1,1,0,0,4,4,2010,1,2,158900,11.9760303525248
"699",1,1,18,1,1,6,5,1995,2,1,1,1,806,1,2,1,1,1572,3,1,2,7,1,1,2,373,1,1,40,0,1,5,2007,1,1,168000,12.0317192583854
"478",5,1,13,1,4,6,3,1928,2,1,5,4,784,1,3,2,3,784,2,1,2,5,1,0,1,360,2,2,0,0,1,10,2009,1,1,76000,11.2384886192685
"496",1,1,12,1,2,5,7,1951,1,1,2,1,1008,1,1,1,1,1363,2,1,2,6,2,2,2,288,1,1,42,0,1,6,2009,1,1,164900,12.0130945085477
"360",1,1,18,1,1,6,8,1993,3,2,1,2,680,1,2,1,1,1470,3,1,2,6,1,1,2,420,1,1,63,0,1,4,2009,1,1,185000,12.1281111040605
"615",1,1,6,1,1,6,5,2007,1,1,1,1,894,1,1,1,1,1933,4,1,1,9,1,1,3,668,1,1,18,0,1,1,2008,1,1,214000,12.273731294004
"722",2,1,8,1,3,6,7,1920,2,1,2,1,901,1,2,1,1,1198,4,1,2,7,1,0,1,0,4,3,98,0,2,9,2008,4,2,79900,11.2885311317544
"691",1,1,17,1,2,8,5,2005,1,1,3,1,1868,1,1,1,1,2028,2,1,1,7,1,2,3,880,1,1,66,0,1,3,2006,2,3,369900,12.8209879778205
"123",1,1,13,1,2,6,5,2005,1,1,1,1,1141,1,1,1,1,1141,3,1,2,6,1,0,1,484,1,1,0,0,1,3,2006,1,2,142500,11.8670972786908
"263",1,1,12,1,3,5,5,1941,2,1,2,1,768,1,3,1,1,1376,3,1,2,6,1,1,3,240,1,1,0,0,1,4,2007,1,1,105000,11.5617156291397
"460",1,1,12,1,2,5,5,1963,2,1,2,1,1144,1,3,1,1,1144,3,1,2,6,1,0,1,336,1,1,88,0,1,8,2008,3,1,124000,11.7280368445872
"432",4,1,6,1,2,6,5,2009,1,1,1,1,1218,1,1,1,1,1218,2,1,1,4,1,0,1,676,1,1,102,0,1,9,2009,2,3,208300,12.2467346272491
"700",1,1,3,1,2,7,8,1959,1,2,1,1,1902,1,3,1,1,1902,3,1,3,7,1,2,2,567,1,1,207,0,1,5,2010,1,1,335000,12.7218858108072
"156",1,1,18,1,1,7,5,2003,1,1,1,1,783,1,1,1,1,1509,3,1,1,8,1,1,3,393,1,1,75,0,1,7,2006,1,1,180000,12.1007121298723
"29",1,1,18,1,2,7,5,2004,1,1,1,1,1530,1,1,1,1,1530,3,1,1,7,1,1,3,630,1,1,36,0,1,11,2007,1,6,259000,12.4645833406817
"456",1,1,19,4,2,8,5,2001,1,1,1,1,1338,1,1,1,1,1338,2,1,1,6,1,0,1,582,1,1,0,0,1,4,2010,1,1,213500,12.2713921116508
"815",1,1,12,1,2,5,7,1962,2,2,2,1,931,1,3,1,1,1283,3,1,2,6,1,0,1,506,1,1,0,0,1,10,2008,1,1,140000,11.8493977015914
"679",1,1,16,1,2,6,7,1950,2,1,2,2,1202,1,3,1,1,2158,4,1,1,7,1,1,3,576,1,1,29,0,2,6,2007,1,1,243000,12.4008167223227
"336",1,1,11,4,2,7,5,2003,1,1,1,1,1405,1,1,1,1,1405,2,1,1,6,1,1,3,478,1,1,36,0,1,3,2006,1,1,171750,12.0537952100846
"624",1,1,10,1,2,5,4,1957,2,1,2,1,1134,1,1,1,1,1803,3,1,2,8,3,1,2,484,1,1,0,0,4,1,2006,1,1,155000,11.9511803959014
"640",4,1,6,5,1,6,5,2000,1,1,1,1,756,1,1,1,1,1573,3,1,1,5,1,0,1,440,1,1,32,0,1,6,2010,1,1,177500,12.0867258878976
"502",1,1,19,1,2,7,5,2005,1,1,3,1,1530,1,1,1,1,1530,3,1,1,7,1,1,3,430,1,1,36,0,1,6,2009,1,1,260000,12.4684369099977
"573",1,1,17,1,2,8,5,2006,1,1,1,1,1476,1,1,1,1,1484,2,1,3,6,1,1,3,472,1,1,33,0,1,12,2007,1,1,265900,12.4908755772311
"184",1,1,22,4,2,7,5,2005,1,1,1,1,1248,1,1,1,1,1248,2,1,1,5,1,0,1,438,1,1,0,0,1,3,2006,2,3,167240,12.0271851854705
"34",1,1,3,1,2,4,5,1922,2,1,5,1,700,1,1,1,1,1180,2,1,4,5,1,1,3,252,1,2,0,0,1,7,2006,1,1,137500,11.8313791960888
"412",1,1,17,1,2,5,4,1963,2,1,2,1,1572,1,2,1,1,1572,3,1,2,5,1,2,2,995,1,1,263,0,1,5,2007,1,1,186700,12.1372583295298
"215",1,1,6,1,2,8,5,2006,1,1,1,1,1623,1,1,1,1,1636,3,1,1,8,1,1,3,865,1,1,60,0,1,6,2007,1,1,255000,12.4490188241406
"256",4,1,6,1,1,7,6,2007,1,1,1,1,813,1,1,1,1,1665,3,1,1,7,1,0,1,562,1,1,0,0,1,5,2008,1,1,205950,12.2353886998642
"58",1,1,11,4,2,8,5,2003,3,1,3,1,1518,1,1,1,1,1518,1,1,3,6,1,1,3,588,1,1,140,0,1,4,2008,1,1,274000,12.5208833853702
"841",1,1,16,1,2,5,6,1965,1,1,2,1,1256,1,2,1,1,1256,3,1,2,6,1,0,1,276,1,1,68,0,1,6,2008,1,1,147500,11.901583454762
"192",1,1,11,4,2,8,5,2006,1,1,1,1,1324,1,1,1,1,1324,2,1,1,6,1,1,3,550,1,1,38,0,1,12,2009,1,1,254000,12.4450895460007
"725",1,1,9,1,4,6,6,1916,2,1,2,1,952,3,4,2,2,952,2,1,4,4,1,1,3,192,2,5,98,0,1,5,2009,1,1,121000,11.7035458245789
"66",2,1,8,1,2,3,8,1955,2,2,2,1,1162,1,1,1,1,1163,3,1,2,6,1,0,1,220,2,1,98,0,1,7,2006,1,1,126175,11.7454251112085
