"","MSSubClass","MSZoning","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","1stFlrSF","2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
"11",20,1,12274,1,1,2,1,1,2,1,6,1,1,1,2,7,5,2008,2008,1,1,1,1,3,1,1,1,1,1,1,3,0,1,0,1417,1417,1,1,1,1,1428,0,0,1428,0,0,2,0,3,1,3,6,1,0,1,1,1,2,554,1,1,1,0,60,0,0,0,0,1,1,1,0,7,2008,2,3,227680
"12",20,1,6897,1,1,2,1,1,3,1,10,1,1,1,2,5,8,1962,2010,1,1,4,4,2,2,2,2,2,1,1,2,659,1,0,381,1040,1,1,1,1,1040,0,0,1040,1,0,1,1,3,1,2,6,1,0,1,2,2,1,260,1,1,1,0,104,0,0,0,0,1,1,1,0,4,2010,1,1,127000
"13",20,1,10921,1,1,1,4,1,1,1,16,1,1,1,2,4,5,1965,1965,2,1,4,4,1,2,1,2,2,1,1,4,520,1,0,440,960,1,3,1,2,960,0,0,960,1,0,1,0,3,1,2,6,1,0,1,1,3,1,432,1,1,3,120,0,0,0,0,0,1,1,1,0,5,2007,1,1,94750
"14",30,2,4608,1,1,1,1,1,3,1,8,4,1,1,2,4,6,1945,1950,1,1,2,2,2,2,2,2,2,1,1,3,0,1,0,747,747,1,3,1,1,747,0,0,747,0,0,1,0,2,1,2,4,1,0,1,1,2,1,220,1,1,1,0,0,0,0,0,0,1,1,1,0,6,2010,1,1,80000
"15",160,2,1680,1,1,1,1,1,1,1,23,1,1,5,1,5,5,1971,1971,1,1,4,4,1,2,1,2,2,1,1,3,0,1,0,630,630,1,3,1,1,630,672,0,1302,0,0,2,1,3,1,2,6,1,0,1,2,2,1,280,1,1,1,0,0,0,0,0,0,1,1,1,0,5,2009,3,2,112000
"16",20,1,10530,1,1,2,1,1,3,1,12,1,1,1,2,6,5,1971,1971,2,1,8,5,2,2,1,2,2,1,1,2,282,6,35,664,981,1,3,1,1,981,0,0,981,1,0,1,1,3,1,2,5,1,0,1,2,2,2,576,1,1,1,0,312,40,0,0,0,1,1,1,0,3,2007,1,1,143250
"17",20,1,11310,1,1,1,1,1,1,1,12,1,1,1,2,6,5,1954,1954,2,1,3,8,2,2,1,2,2,1,1,3,0,1,0,1367,1367,1,1,1,1,1375,0,0,1375,0,0,1,0,2,1,2,5,1,1,2,1,2,2,451,1,1,1,0,30,0,0,0,0,1,1,1,0,6,2006,1,1,140000
"18",120,1,4045,1,1,1,1,1,1,1,22,1,1,4,2,7,5,2006,2006,2,1,1,1,1,1,1,1,1,1,4,1,1070,1,0,286,1356,1,1,1,1,1500,0,0,1500,1,0,2,0,2,1,1,6,1,1,3,1,3,3,648,1,1,1,161,20,0,0,0,0,1,1,1,0,10,2006,2,3,246578
"19",60,1,11214,1,1,2,1,1,3,1,18,1,1,1,1,7,5,1998,1999,1,1,1,1,2,1,1,1,1,1,1,3,0,1,0,930,930,1,2,1,1,956,930,0,1886,0,0,2,1,4,1,1,10,1,1,2,1,3,2,431,1,1,1,89,0,0,0,0,0,1,1,1,0,7,2006,1,1,199900
"20",120,4,5119,1,1,2,1,1,4,1,6,1,1,4,2,9,5,1999,2000,1,1,2,2,1,1,1,1,3,1,4,1,1238,1,0,460,1698,1,1,1,1,1709,0,0,1709,1,0,2,0,2,1,1,5,1,1,2,1,3,2,506,1,1,1,97,65,0,0,0,0,1,1,1,0,1,2008,6,2,328900
"21",30,1,8248,1,2,1,1,1,1,1,16,1,1,1,2,3,3,1914,1950,1,1,10,9,2,2,1,3,2,1,1,5,41,1,0,823,864,1,3,2,2,864,0,0,864,1,0,1,0,2,1,2,5,1,0,1,5,4,0,0,4,3,2,0,0,100,0,0,0,1,1,1,0,9,2008,1,1,67000
"22",20,1,9571,1,1,1,1,1,1,1,16,1,1,1,2,5,3,1958,1958,1,1,11,11,2,2,3,2,2,4,1,3,0,1,0,1276,1276,1,3,1,3,1276,0,0,1276,0,0,1,0,3,1,2,5,5,0,1,1,2,1,350,1,1,1,0,0,0,0,0,0,1,1,1,0,6,2009,3,2,60000
"23",60,1,15578,1,1,2,1,1,3,1,18,1,1,1,1,6,5,2006,2006,1,1,1,1,2,1,1,1,1,1,1,3,0,1,0,728,728,1,2,1,1,728,728,0,1456,0,0,2,1,3,1,2,8,1,0,1,1,1,2,429,1,1,1,0,0,0,0,0,0,1,1,1,0,5,2006,2,3,172785
"24",45,2,6380,1,1,1,1,1,1,1,9,1,1,1,4,5,6,1922,1950,1,1,2,2,2,2,1,3,2,4,1,3,0,1,0,993,993,1,3,1,3,1048,0,0,1048,0,0,1,0,2,1,2,5,1,1,3,2,2,1,280,1,1,1,0,0,116,0,0,0,1,1,1,0,8,2006,1,1,113000
"25",50,2,6000,1,1,1,1,1,1,1,9,1,1,1,3,6,6,1941,1950,1,1,3,6,2,2,2,3,2,2,1,2,375,1,0,360,735,1,1,1,1,869,349,0,1218,0,1,1,0,3,1,2,6,1,1,3,2,2,2,440,1,1,1,0,0,0,0,0,0,1,1,1,0,3,2007,1,1,131000
"26",20,1,8281,1,1,2,1,1,1,1,10,1,1,1,2,5,5,1965,1965,1,1,2,2,2,2,1,2,2,1,1,4,553,2,311,0,864,1,2,1,1,864,0,0,864,0,0,1,0,3,1,2,5,1,1,6,2,2,1,360,1,1,1,0,0,236,0,0,0,1,3,1,0,12,2009,1,1,62383
"27",20,1,10083,1,1,1,1,1,1,1,13,1,1,1,2,7,5,2003,2003,1,1,1,1,5,1,1,1,1,1,1,1,833,1,0,343,1176,1,1,1,1,1200,0,0,1200,1,0,2,0,2,1,1,5,1,0,1,1,1,2,555,1,1,1,0,41,0,0,0,0,1,1,1,0,8,2009,1,1,184900
"28",20,1,9991,1,1,2,1,1,3,1,10,2,1,1,2,4,4,1976,1993,1,1,8,5,2,2,1,2,2,1,1,5,1116,1,0,165,1281,1,1,1,1,1620,0,0,1620,1,0,2,0,3,1,2,8,2,1,2,1,2,2,490,1,1,1,120,78,0,0,0,0,1,3,1,0,6,2009,1,1,150000
"29",20,1,14572,1,1,4,1,1,3,1,18,1,1,1,2,7,5,2004,2004,2,1,1,1,2,1,1,1,1,1,4,1,1300,1,0,230,1530,1,1,1,1,1530,0,0,1530,1,0,2,0,3,1,1,7,1,1,3,1,3,3,630,1,1,1,144,36,0,0,0,0,1,1,1,0,11,2007,1,6,259000
"30",75,1,7128,1,1,1,1,1,1,1,3,1,1,1,7,7,5,1941,1950,1,1,2,2,2,2,2,2,2,1,1,4,364,1,0,554,918,1,2,1,1,918,728,0,1646,0,0,2,0,4,1,2,7,1,2,3,2,2,1,240,1,1,1,0,0,0,0,126,0,1,2,1,0,8,2007,1,1,164000
"31",20,1,8892,1,1,2,1,1,1,1,12,1,1,1,2,5,5,1960,1960,1,1,2,2,4,2,1,2,2,1,1,3,0,1,0,1065,1065,1,2,1,1,1065,0,0,1065,0,0,1,1,3,1,2,6,1,0,1,2,2,2,461,1,1,1,74,0,0,0,0,0,1,1,1,0,7,2007,3,1,126500
"32",90,1,11475,1,1,1,1,1,3,1,12,1,1,3,2,5,5,1958,1958,1,1,1,1,1,2,1,2,2,1,1,3,0,1,0,1584,1584,1,3,1,1,1776,0,0,1776,1,0,2,0,4,2,2,9,1,0,1,2,2,3,888,1,1,1,0,25,0,0,0,0,1,1,1,0,7,2009,3,2,110000
"33",60,1,11194,1,1,2,1,1,3,1,18,1,1,1,1,8,5,2000,2000,1,1,1,1,1,1,1,1,1,1,1,3,0,1,0,1406,1406,1,1,1,1,1454,482,0,1936,0,0,2,1,3,1,1,7,1,1,2,1,1,2,504,1,1,1,188,124,0,0,0,0,1,1,1,0,11,2006,1,1,230500
"34",30,1,11600,1,1,1,1,1,1,1,3,1,1,1,2,4,5,1922,1950,1,1,2,2,2,2,1,3,5,1,1,3,0,1,0,700,700,1,1,1,1,1180,0,0,1180,0,0,1,0,2,1,4,5,1,1,3,2,2,1,252,1,2,1,0,0,67,0,0,0,1,1,1,0,7,2006,1,1,137500
"35",20,1,9100,1,1,1,1,1,3,1,12,2,1,1,2,5,5,1958,1958,1,1,1,1,2,2,1,2,2,1,1,5,521,6,174,169,864,1,3,1,1,864,0,0,864,1,0,1,0,3,1,2,5,1,0,1,2,2,2,624,1,1,1,0,0,0,0,0,0,1,1,1,0,7,2006,1,1,129900
"36",20,1,11883,1,1,1,1,1,1,1,1,1,1,1,2,7,5,1996,1996,2,1,1,1,1,1,1,1,1,1,2,1,690,1,0,814,1504,1,1,1,1,1504,0,0,1504,1,0,2,0,3,1,1,6,1,1,2,1,3,2,478,1,1,1,115,66,0,0,0,0,1,1,1,0,6,2009,1,1,203000
"37",190,1,10106,1,1,1,1,1,1,1,16,1,1,2,3,5,7,1940,1999,1,1,3,6,2,2,2,3,2,1,1,2,351,5,181,112,644,1,2,1,1,808,547,0,1355,1,0,2,0,4,2,2,6,1,0,1,5,4,0,0,4,3,1,140,0,0,0,0,0,1,1,1,0,9,2008,1,1,127500
"38",20,1,12085,1,1,1,1,1,1,1,11,1,1,1,2,8,5,2007,2007,2,1,1,1,3,1,1,1,3,1,1,1,1004,1,0,730,1734,1,1,1,1,1734,0,0,1734,1,0,2,0,3,1,3,7,1,1,3,1,1,3,928,1,1,1,0,0,0,0,0,0,1,1,1,0,11,2007,2,3,318000
"39",90,5,6270,1,1,1,4,1,1,1,3,1,1,3,1,5,6,1949,1950,1,1,2,2,2,2,1,2,2,1,1,5,284,1,0,717,1001,1,3,2,3,1001,1001,0,2002,0,0,2,0,4,2,2,8,1,0,1,7,2,3,871,1,1,1,0,0,0,0,0,0,1,1,1,0,8,2007,1,1,145000
"40",190,1,12180,1,1,1,1,1,1,1,16,1,1,2,3,4,4,1941,1950,1,1,2,2,2,2,3,3,1,1,1,5,348,1,0,324,672,3,4,2,3,672,252,0,924,1,0,1,0,2,1,4,5,1,0,1,2,2,1,280,1,1,1,0,0,0,0,0,0,1,2,1,0,7,2010,1,1,80000
"41",90,1,11600,1,1,1,1,1,3,1,12,2,1,3,1,5,5,1960,1960,1,1,2,2,1,2,1,2,2,1,1,4,443,1,0,662,1105,1,3,1,3,1105,1169,0,2274,0,0,2,0,5,2,2,12,1,0,1,2,2,2,480,1,1,1,0,0,0,0,0,0,1,1,1,0,1,2010,1,1,154300
"42",20,1,10628,1,1,1,1,1,1,1,12,1,1,1,2,7,5,1970,1970,5,6,8,5,2,2,2,2,2,2,2,1,778,1,0,499,1277,1,3,1,1,1277,0,0,1277,1,0,1,0,2,1,2,5,1,1,6,1,2,2,526,1,1,1,0,0,0,0,176,0,1,3,1,0,4,2007,1,1,167000
"43",20,1,8712,1,1,2,1,1,1,1,12,1,1,1,2,5,7,1957,2000,2,1,2,2,2,2,2,2,2,1,3,5,860,1,0,132,992,1,3,1,1,1306,0,0,1306,1,0,1,0,2,1,2,5,1,0,1,2,2,1,756,1,1,1,0,0,0,0,0,0,1,1,1,0,5,2009,1,1,153000
"44",60,1,11075,1,1,1,1,1,1,1,12,1,1,1,1,6,5,1969,1969,1,1,4,4,2,2,1,2,5,1,3,2,500,6,276,176,952,1,3,1,1,1092,1020,0,2112,0,0,2,1,4,1,2,9,1,2,3,1,2,2,576,1,1,1,280,0,0,0,0,0,1,1,1,0,6,2008,1,1,206900
"45",50,1,8248,1,2,1,1,1,1,1,16,1,1,1,3,5,7,1918,1950,1,1,10,9,2,2,1,3,2,1,1,3,0,1,0,686,686,2,2,1,1,686,564,0,1250,0,1,1,1,3,1,4,7,1,0,1,2,2,1,280,1,1,3,207,0,96,0,0,0,1,1,1,0,7,2006,1,1,116000
"46",60,1,9531,1,1,2,1,1,4,1,1,1,1,1,1,6,5,1998,1998,1,1,1,1,2,2,1,1,1,1,3,1,706,1,0,88,794,1,1,1,1,882,914,0,1796,1,0,2,1,3,1,2,7,1,0,1,1,1,2,546,1,1,1,0,36,0,0,0,0,1,2,1,0,5,2007,1,1,211000
"47",45,1,7227,1,1,1,4,1,3,2,12,4,1,1,4,6,6,1954,1954,1,1,2,2,2,2,1,2,2,1,1,3,0,1,0,832,832,1,2,1,1,832,0,0,832,0,0,1,0,2,1,1,4,1,0,1,2,2,2,528,1,1,1,0,0,0,0,0,0,1,1,1,0,6,2008,1,1,105500
"48",20,1,10182,1,1,2,1,1,4,1,6,6,1,1,2,8,5,2006,2006,2,1,1,1,3,1,1,1,3,1,3,1,1220,1,0,440,1660,1,1,1,1,1660,0,0,1660,1,0,2,0,3,1,1,8,1,1,3,1,1,2,500,1,1,1,322,50,0,0,0,0,1,1,1,0,5,2006,2,3,290000
"49",90,1,8393,1,1,1,1,1,3,1,12,1,1,3,2,5,5,1959,2005,1,1,2,2,1,2,1,2,2,1,1,7,528,1,0,1098,1626,1,1,1,1,1712,0,0,1712,0,0,2,0,4,2,2,8,1,0,1,1,3,2,588,1,1,1,272,54,0,0,0,0,1,1,1,0,6,2006,1,6,145000
"50",30,2,8263,1,1,1,2,1,1,2,14,1,1,1,2,6,5,1920,1950,1,1,5,8,2,2,1,3,2,1,1,3,0,1,0,1012,1012,1,3,1,3,1012,0,0,1012,0,0,1,0,2,1,2,6,1,1,3,2,2,1,308,1,1,1,0,22,112,0,0,0,1,2,1,0,5,2007,1,1,118400
"51",50,2,9439,1,1,1,1,1,1,1,8,1,1,1,3,5,5,1930,1950,1,1,3,6,2,2,1,2,2,1,1,7,324,1,0,588,912,1,2,1,3,912,336,0,1248,0,0,1,0,2,1,2,6,1,0,1,2,2,1,160,2,2,1,0,0,192,0,0,0,1,1,1,0,3,2007,1,1,87000
"52",20,4,11216,1,1,1,1,1,1,1,6,1,1,1,2,8,5,2006,2006,1,1,1,1,2,1,1,1,1,2,1,3,0,1,0,1489,1489,1,1,1,1,1489,0,0,1489,0,0,2,0,3,1,1,7,1,1,3,1,1,2,776,1,1,1,0,140,0,0,0,0,1,1,1,0,6,2006,2,3,232600
"53",50,1,12822,1,1,2,1,1,4,1,5,1,1,1,3,7,5,2003,2003,1,1,1,1,2,1,1,1,3,1,1,1,1351,1,0,83,1434,1,1,1,1,1518,631,0,2149,1,0,1,1,1,1,1,6,1,1,5,1,1,2,670,1,1,1,168,43,0,0,198,0,1,1,1,0,8,2009,1,2,239686
"54",20,1,11428,1,1,2,1,1,1,1,11,1,1,1,2,8,5,2006,2006,1,1,1,1,3,1,1,1,1,1,1,3,0,1,0,1626,1626,1,1,1,1,1634,0,0,1634,0,0,2,0,3,1,1,7,1,1,3,1,1,3,866,1,1,1,0,44,0,0,0,0,1,1,1,0,5,2007,1,1,250000
"55",60,1,7415,1,1,2,1,1,1,1,18,1,1,1,1,6,5,2004,2004,1,1,1,1,2,2,1,1,2,1,1,1,759,1,0,80,839,1,1,1,1,864,729,0,1593,1,0,2,1,3,1,2,8,1,1,2,1,3,2,398,1,1,1,100,75,0,0,0,0,1,1,1,0,4,2008,1,1,193000
"56",85,1,7252,1,1,2,1,1,4,1,10,1,1,1,5,5,5,1982,1982,2,1,3,6,2,2,1,2,1,1,4,1,685,1,0,173,858,1,3,1,1,858,0,0,858,1,0,1,0,2,1,2,5,1,0,1,2,2,2,576,1,1,1,120,0,0,0,0,0,1,1,1,0,4,2009,1,1,134900
"57",80,1,13400,1,1,1,1,1,1,1,12,1,1,1,6,5,5,1966,1966,1,1,1,1,1,2,1,2,2,1,4,2,516,2,128,380,1024,1,3,1,1,1086,0,0,1086,1,0,1,0,3,1,2,6,1,1,3,1,1,2,484,1,1,1,0,0,0,0,0,0,1,3,1,0,6,2006,1,1,159950
"58",120,1,12677,1,1,2,1,1,1,1,11,1,1,4,2,8,5,2003,2004,2,1,2,2,1,3,1,1,3,1,2,1,1218,1,0,300,1518,1,1,1,1,1518,0,0,1518,0,0,1,1,1,1,3,6,1,1,3,1,1,2,588,1,1,1,185,140,0,0,0,0,1,1,1,0,4,2008,1,1,274000
"59",90,1,9000,1,1,1,1,1,2,1,12,1,1,3,1,5,5,1974,1974,1,1,1,1,2,2,1,2,1,1,1,3,0,1,0,896,896,1,3,1,1,896,896,0,1792,0,0,2,2,4,2,2,8,1,0,1,5,4,0,0,4,3,1,32,45,0,0,0,0,1,1,1,0,9,2009,1,1,136000
"60",60,1,11796,1,1,2,1,1,1,1,18,1,1,1,1,7,5,2004,2005,1,1,1,1,2,1,1,1,1,1,4,3,0,1,0,847,847,1,1,1,1,847,1112,0,1959,0,0,2,1,4,1,1,8,1,1,3,3,3,2,434,1,1,1,100,48,0,0,0,0,1,1,1,0,7,2007,1,1,215000
"61",20,1,9600,1,1,1,1,1,2,1,2,2,1,1,2,6,8,1976,1976,1,1,2,2,2,2,1,2,1,1,2,2,978,1,0,284,1262,1,1,1,1,1262,0,0,1262,0,1,2,0,3,1,2,6,1,1,2,1,1,2,460,1,1,1,298,0,0,0,0,0,1,1,1,0,5,2007,1,1,181500
"62",60,1,8750,1,1,1,1,1,1,1,1,1,1,1,1,7,5,1996,1996,1,1,1,1,2,1,1,1,1,1,1,3,0,1,0,880,880,1,1,1,1,909,807,0,1716,0,0,2,1,2,1,1,7,1,1,2,1,1,2,512,1,1,1,0,120,0,0,0,0,1,1,1,0,7,2009,1,1,191000
"63",50,2,5000,1,1,1,1,1,3,1,8,1,1,1,3,5,4,1900,1950,1,1,3,6,2,2,1,3,2,1,1,3,0,1,0,540,540,1,2,2,3,889,551,0,1440,0,0,1,0,3,1,2,6,1,0,1,1,2,1,352,2,1,1,0,0,77,0,0,0,1,1,1,0,4,2006,1,1,79000
"64",85,1,7301,1,1,1,1,1,3,1,16,1,1,1,5,7,5,2003,2003,1,1,4,4,1,1,1,5,4,3,5,6,0,3,0,0,0,1,1,1,1,495,1427,0,1922,0,0,3,0,4,1,1,7,1,1,5,3,1,2,672,1,1,1,0,0,177,0,0,0,1,1,1,0,7,2009,4,1,198500
"65",90,1,9400,1,1,1,3,1,3,1,5,1,1,3,1,6,5,1971,1971,4,1,2,3,2,2,1,2,2,1,4,3,0,1,0,912,912,1,3,1,1,912,912,0,1824,0,0,2,2,4,2,2,8,1,0,1,5,4,0,0,4,3,1,128,0,0,0,0,0,1,1,1,0,4,2010,1,1,139000
"66",20,2,5820,1,1,1,1,1,1,1,8,1,1,1,2,3,8,1955,2005,1,1,1,1,2,2,2,2,2,1,1,2,256,1,0,906,1162,1,1,1,1,1163,0,0,1163,1,0,1,0,3,1,2,6,1,0,1,1,2,1,220,2,1,1,142,98,0,0,0,0,1,1,1,0,7,2006,1,1,126175
"67",20,1,10200,1,1,1,1,1,1,1,12,1,1,1,2,5,7,1954,2003,1,1,3,6,1,2,1,2,2,1,1,2,320,2,362,404,1086,1,2,1,1,1086,0,0,1086,1,0,1,0,3,1,2,6,1,0,1,1,2,2,490,1,1,1,0,0,0,0,0,0,1,3,1,0,5,2010,1,1,144900
"68",20,1,9000,1,1,1,1,1,1,1,12,1,1,1,2,6,5,1956,1956,1,1,3,6,1,2,1,2,1,1,1,7,616,1,0,580,1196,1,2,1,3,1196,0,0,1196,1,0,1,0,2,1,2,6,1,1,3,1,1,1,297,1,1,1,0,44,0,0,0,0,1,1,1,0,5,2008,1,1,139000
"69",20,1,11241,1,1,2,1,1,4,1,12,1,1,1,2,6,7,1970,1970,1,1,3,6,1,2,1,2,2,1,1,2,578,1,0,426,1004,1,1,1,1,1004,0,0,1004,1,0,1,0,2,1,2,5,1,1,2,1,3,2,480,1,1,1,0,0,0,0,0,0,1,1,2,700,3,2010,1,1,149000
"70",50,1,8160,1,1,1,1,1,1,1,16,1,1,1,3,5,6,1940,1950,1,1,2,2,2,2,1,3,2,1,1,2,312,1,0,444,756,1,4,2,2,756,378,0,1134,1,0,1,1,3,1,2,7,1,0,1,2,2,1,240,1,1,3,0,0,0,0,0,0,1,1,1,0,4,2007,1,4,126000
"71",160,2,1680,1,1,1,1,1,1,1,23,1,1,5,1,6,5,1971,1971,1,1,7,7,1,2,1,2,2,1,1,3,0,1,0,672,672,1,3,1,1,672,546,0,1218,0,0,1,1,3,1,2,7,1,0,1,5,4,0,0,4,3,2,201,0,0,0,0,0,1,1,1,0,4,2006,1,2,91500
"72",20,1,10240,1,1,1,1,1,1,1,7,1,1,1,2,6,6,1980,1980,1,1,8,5,1,2,2,2,1,1,1,5,625,6,1061,0,1686,1,3,1,1,1686,0,0,1686,1,0,2,0,3,1,2,7,1,1,2,1,2,2,612,1,1,1,384,131,0,0,0,0,1,1,1,0,5,2006,1,1,207500
"73",80,1,9020,1,1,1,1,1,3,1,12,2,1,1,6,6,5,1964,1964,1,2,8,6,1,2,1,2,2,1,2,1,624,5,336,288,1248,1,3,1,1,1350,0,0,1350,1,0,1,1,3,1,2,6,1,0,1,1,1,2,520,1,1,1,176,0,0,0,0,0,1,4,1,0,6,2008,1,1,168500
"74",190,2,10800,1,3,1,1,1,1,1,8,1,1,2,3,6,7,1905,2000,1,1,3,6,2,2,1,3,5,1,1,3,0,1,0,482,482,1,1,2,1,1221,691,0,1912,0,0,2,0,3,2,2,7,1,1,2,2,2,2,672,3,1,1,0,25,212,0,0,0,1,1,1,0,4,2008,1,1,163000
"75",50,2,5720,1,1,1,1,1,1,1,8,4,1,1,3,5,6,1941,1950,1,1,3,6,2,2,1,2,2,1,1,3,0,1,0,676,676,1,1,1,1,676,455,0,1131,0,0,1,1,3,1,2,5,1,0,1,2,2,1,200,1,1,1,26,0,0,0,0,0,1,1,1,0,8,2009,1,2,66500
"76",60,1,11885,1,1,1,1,1,1,1,1,1,1,1,1,8,5,2001,2001,1,1,1,1,1,1,1,1,1,1,4,1,990,1,0,309,1299,1,1,1,1,1299,573,0,1872,1,0,2,1,3,1,3,7,1,1,2,3,1,2,531,1,1,1,160,122,0,0,0,0,1,1,1,0,11,2009,1,1,261500
"77",60,1,8121,1,1,2,1,1,1,1,18,1,1,1,1,6,5,2000,2000,1,1,1,1,2,2,1,1,1,1,1,3,0,1,0,953,953,1,1,1,1,953,711,0,1664,0,0,2,1,3,1,2,7,1,1,2,1,1,2,460,1,1,1,100,40,0,0,0,0,1,1,1,0,1,2006,1,1,172400
"78",70,1,9842,1,1,1,1,1,1,1,24,2,1,1,1,5,6,1921,1998,1,1,2,6,2,2,1,3,2,4,1,3,0,1,0,612,612,1,1,1,1,990,1611,0,2601,0,0,3,1,4,1,2,8,1,0,1,3,1,2,621,1,1,1,183,0,301,0,0,0,1,1,1,0,5,2008,1,1,189000
